ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1080304-214,0.903353518028129,-0.6693748506708372,-0.4936671378555546,-0.5556717055558217
1080304-217,1.1784864774088712,1.1203834419849512,0.5198056225441097,-0.1787829310190447
1080305-197,0.6457783548876832,-1.4336415113659626,1.5397547711870934,-0.28554160875591866
1080305-208,-0.615470824708413,0.007529908243915449,1.0077594327616954,-1.26745652148393
1080305-213,-2.0848580234237444,-1.4342943800527979,-1.819643963341467,0.5032932052639484
1080306-193,0.7823994087267517,0.5883383189910203,-0.5078494874654176,0.6440638995141562
1080306-198,-2.5220828265888535,-0.3258463266359998,-0.44804049823211317,-0.6087987478243112
1080306-202,0.8695284245255529,0.3388756835651668,0.08587691365263692,0.038542555282049064
1080306-204,0.6574070238875065,1.2041191650105965,0.7382971832342695,0.6192187475080583
1080307-192,-1.2710060697782184,-1.0760425868913142,-1.8956464847576617,0.7412191809426419
1080307-195,0.5741560130981618,0.17028688324698757,0.8830287307137511,-0.6359898206384357
1080307-209,1.0743900173187035,1.146365928083569,0.9880806555072777,1.5458298154367678
1080307-212,0.9251996689070635,0.8932188831886604,0.36981894891870387,-0.2661208372914764
1080308-189,-1.100179907026401,-1.648577540202454,-1.3019138357933981,-1.416157116080884
1080308-196,0.17208287555927393,0.4430975052377994,-1.0649254535603079,-0.99956879490384
1080308-200,-0.607688828947552,0.2477850415074484,1.6733959790864836,0.19545217859134376
1080308-211,1.5355197736598074,0.8088003797457952,-0.2112962660742204,0.44386738966863576
1080401-113,-0.3352145704978793,-0.26508103206960315,-0.44357884149841853,-1.0767835532047483
1080401-157,0.7998652468411799,-1.331021254496715,-0.1279636133033846,-1.7128251867064286
1080401-177,0.8907053154695238,-0.014100303156029602,0.11304019151278497,-0.5078305040259935
1080402-133,0.9054024756009328,1.0940340970060507,-0.9983180786490621,1.2606826859699176
1080402-138,0.7349347088134992,0.3813686146092179,-0.45381737544236705,0.9336177089951844
1080402-182,0.02438970340737564,0.5122538363155198,0.6412234727889352,-0.0755910607760784
1080403-128,0.15402090857109757,-0.3472127358000799,-0.7482196643111277,-0.9219538818261573
1080403-129,1.0579686320594466,-0.8812374525008745,-0.41949916365154044,-1.6392294396741327
1080403-155,-3.1254655932969992,-0.8307103334456204,-0.8825893905649576,-2.2322414963592134
1080403-181,-1.5244654932406139,0.5845838660233252,0.6099660384529898,-0.8636253528675218
1080404-116,-0.6671214779987169,0.3412725117091586,0.7773088642255517,0.8153393252505643
1080404-121,-0.41589898310575973,-2.287546904503348,-0.6272619369311715,-1.2634971559118433
1080404-172,0.9452083604429597,0.9845518375473765,0.06325590018669877,-0.43639710482422833
